wacc_um,dv,qmax
0.16,7.29858e-01,2.05522e-01
0.18,7.70150e-01,2.23881e-01
0.20,8.03072e-01,2.40820e-01
0.22,8.30073e-01,2.56555e-01
0.24,8.52341e-01,2.71217e-01
0.26,8.70817e-01,2.84902e-01
0.28,8.86233e-01,2.97725e-01
0.30,8.99155e-01,3.09791e-01
0.32,9.10021e-01,3.21191e-01
0.34,9.19170e-01,3.32041e-01
0.36,9.26859e-01,3.42505e-01
0.38,9.33286e-01,3.52560e-01
0.40,9.38592e-01,3.62334e-01
0.45,9.47424e-01,3.86460e-01
0.50,9.48345e-01,4.14501e-01
0.51,9.45102e-01,4.24058e-01
0.52,2.83991e-01,5.33000e-01
0.53,2.21828e-01,5.39516e-01
0.54,1.93915e-01,5.42759e-01
0.55,1.76068e-01,5.45021e-01
0.60,1.33404e-01,5.51730e-01
0.65,1.15180e-01,5.55916e-01
0.70,1.04868e-01,5.59182e-01
0.75,9.82767e-02,5.61941e-01
0.80,9.37710e-02,5.64382e-01
