vdd,dv,qmax
1.10,7.29858e-01,2.05522e-01
1.05,6.73602e-01,1.91659e-01
1.00,6.15961e-01,1.77881e-01
0.95,5.57109e-01,1.64171e-01
0.90,4.97382e-01,1.50487e-01
0.85,4.37161e-01,1.36837e-01
0.80,3.76787e-01,1.23239e-01
0.75,3.16609e-01,1.09782e-01
0.70,2.57107e-01,9.65420e-02
0.65,1.99076e-01,8.37069e-02
0.60,1.43936e-01,7.15864e-02
0.55,9.41806e-02,6.06228e-02
0.50,5.35756e-02,5.12814e-02
0.45,2.57346e-02,4.38189e-02
0.44,2.17920e-02,4.25442e-02
0.43,1.83502e-02,4.13357e-02
0.42,1.53744e-02,4.01900e-02
0.41,1.28238e-02,3.91032e-02
0.40,1.06539e-02,3.80719e-02
0.35,3.99300e-03,3.36289e-02
0.30,1.38718e-03,2.76890e-02
0.25,4.37147e-04,2.37013e-02
0.20,1.05353e-04,2.54422e-02
