
---------- Begin Simulation Statistics ----------
simSeconds                                   3.993587                       # Number of seconds simulated (Second)
simTicks                                 3993587199000                       # Number of ticks simulated (Tick)
finalTick                                3993587199000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  72431.86                       # Real time elapsed on the host (Second)
hostTickRate                                 55135781                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    4434252                       # Number of bytes of host memory used (Byte)
simInsts                                   6758353702                       # Number of instructions simulated (Count)
simOps                                    11094105177                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    93306                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     153166                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                       7987174399                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.181822                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.846151                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     15808588035                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                 77171105                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    14407871719                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                7137468                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined           4791653957                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined       10065857500                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved             5566412                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          7986709166                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.803981                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.202471                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                3679927440     46.08%     46.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 851794226     10.67%     56.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 937990536     11.74%     68.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 686808058      8.60%     77.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 761596182      9.54%     86.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 415761008      5.21%     91.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 255412297      3.20%     95.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 217346655      2.72%     97.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                 180072764      2.25%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            7986709166                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu               112623685     79.19%     79.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     79.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     79.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     79.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     79.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     79.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     79.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     79.19% # attempts to use FU when none available (Count)
