
---------- Begin Simulation Statistics ----------
simSeconds                                   4.553539                       # Number of seconds simulated (Second)
simTicks                                 4553539487500                       # Number of ticks simulated (Tick)
finalTick                                4553539487500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  60038.63                       # Real time elapsed on the host (Second)
hostTickRate                                 75843492                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    4398344                       # Number of bytes of host memory used (Byte)
simInsts                                   6758354774                       # Number of instructions simulated (Count)
simOps                                    11094107174                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   112567                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     184783                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                       9107078976                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.347529                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.742099                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     15819059397                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                 77472988                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    14420707576                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                7093992                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined           4802425205                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined       10049270066                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved             5868295                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          9106377074                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.583583                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.144628                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                4782186584     52.51%     52.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 868666205      9.54%     62.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 939845429     10.32%     72.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 687201310      7.55%     79.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 762096845      8.37%     88.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 414901496      4.56%     92.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 253315870      2.78%     95.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 217350177      2.39%     98.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                 180813158      1.99%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            9106377074                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu               113912777     78.60%     78.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     78.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     78.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     78.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     78.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     78.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     78.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     78.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     78.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     78.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     78.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                  18261      0.01%     78.62% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     78.62% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                  73331      0.05%     78.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      3      0.00%     78.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                  66250      0.05%     78.71% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                920899      0.64%     79.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     79.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     79.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     79.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                11237      0.01%     79.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     79.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     79.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     79.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%     79.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     79.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     79.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                 0      0.00%     79.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                 0      0.00%     79.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%     79.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult                0      0.00%     79.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMultAcc             0      0.00%     79.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMatMultAcc            0      0.00%     79.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatSqrt                0      0.00%     79.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAdd                0      0.00%     79.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAlu                0      0.00%     79.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceCmp                0      0.00%     79.36% # attempts to use FU when none available (Count)
